rundate,span,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,OXFORD (KIDLINGTON),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,16.210000,0.000000,5.680000,0.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,PENZANCE HELIPORT,196.000000,217.000000,190.000000,156.000000,159.000000,135.000000,95.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,PRESTWICK,28536.701000,31517.350000,22965.994000,13385.143000,12163.136000,11845.983000,10313.572000,9526.144000,12539.633000,11241.626000,10821.912000,-4.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,SCATSTA,730.020000,765.239000,723.361000,751.568000,765.140000,808.168000,873.198000,848.882000,788.014000,701.846000,456.228000,-35.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,SOUTHAMPTON,194.679000,297.155000,264.114000,209.121000,115.660000,131.776000,358.536000,132.894000,133.234000,184.750000,172.671000,-7.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,STORNOWAY,520.410000,558.341000,550.868000,475.311000,191.671000,115.392000,153.989000,114.499000,113.547000,100.730000,93.742000,-7.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,SUMBURGH,85.614000,103.961000,143.512000,53.250000,268.074000,315.362000,362.387000,329.145000,334.731000,382.323000,306.467000,-20.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,TIREE,25.334000,24.004000,22.551000,21.089000,19.028000,24.648000,19.234000,21.319000,11.205000,13.140000,8.405000,-36.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,WICK JOHN O GROATS,4.787000,2.132000,1.627000,1.488000,0.213000,0.327000,0.299000,0.494000,0.636000,1.132000,0.309000,-73.000000
29/01/2018 16:38:20,2006 - 2016,Non UK Reporting Airports,ALDERNEY,280.800000,290.015000,323.493000,274.989000,216.250000,182.108000,161.345000,127.958000,118.616000,108.728000,94.765000,-13.000000
29/01/2018 16:38:20,2006 - 2016,Non UK Reporting Airports,GUERNSEY,3581.673000,3420.231000,3309.120000,2901.194000,2131.721000,2193.866000,1940.291000,2026.266000,2027.177000,1911.297000,1864.614000,-2.000000
29/01/2018 16:38:20,2006 - 2016,Non UK Reporting Airports,ISLE OF MAN,897.140000,533.418000,595.307000,499.503000,403.773000,423.840000,432.644000,447.453000,358.453000,313.984000,261.660000,-17.000000
29/01/2018 16:38:20,2006 - 2016,Non UK Reporting Airports,JERSEY,4875.046000,4415.752000,4331.826000,3672.288000,3026.743000,2633.907000,2478.233000,2823.160000,2875.859000,2666.999000,1894.977000,-29.000000

